,Source,URL,Primary Author,Title,Positive Percentage,Neutral Percentage,Negative Percentage,Summary,Date,Summmary
10,vice.com,https://www.vice.com/en/article/7kv7kz/another-160-unmarked-graves-confirmed-at-former-residential-school-by-penelakut-tribe-in-canada,Anya Zoledziowski,Another 160 Unmarked Graves Confirmed at Former Residential School in Canada,0.024895728,0.29978898,0.6753153,,2021-07-13T07:00:00+00:00,"  Since May, more than 1,000 unmarked graves have been confirmed at former residential schools, with the first 215 reported by a First Nation in British Columbia.   Residential schools were used by the Canadian government to forcibly assimilate 150,000 Inuit, First Nations, and Métis children.   Former Kuper Island employee Glenn Doughty alone was convicted of 46 sex-related offences after working at Kuper Island Residential School and elsewhere. But the Truth and Reconciliation Commission, which investigated the residential school system and its aftermath, identified fewer than 50 convictions for abuse committed at residential schools between 2007 and 2015—compared to more than 38,000 reports of sexual or severe physical abuse."
11,vice.com,https://www.vice.com/en/article/7kvkb9/the-residential-school-system-didnt-endit-just-became-foster-care,Anya Zoledziowski,The Residential School System Didn’t End—It Just Became Foster Care,0.01969438,0.28242847,0.6978771,,2021-06-09T07:00:00+00:00,"The news reiterated what Indigenous communities have been saying for years: thousands of children died after being taken from their homes by the government, Canada’s federal police, the RCMP, and churches, and forced into residential schools, where they faced sweeping abuses and were often punished for speaking their languages and expressing their identities. In B.C., Indigenous children were at one point six times more likely to be seized than non-Indigenous kids. Right now, nearly half of Indigenous children countrywide live in poverty, a number that jumps to 53 percent on reserve—four times the rate of white children, a 2019 study found.  Burton doesn’t think new legislation matters at this point. “All you're doing is you’re giving Indigenous communities a small say in how welfare is created and how Indigenous children are going to be ripped away from their families; you’re still going to put them in a stranger home."
12,vice.com,https://www.vice.com/en/article/3aqkzw/remains-of-215-indigenous-children-found-buried-at-former-residential-school,Anya Zoledziowski,Remains of 215 Indigenous Children Found Buried at Former Residential School,0.023072222,0.48644766,0.49048007,,2021-05-05T07:00:00+00:00,"The remains of 215 children have been found buried on the site of former Kamloops Indian Residential School in Kamloops, B.C. THE CANADIAN PRESS/Andrew Snucins     Residential schools were used by the Canadian government to forcibly assimilate an estimated 150,000 First Nations, Inuit, and Métis children, amounting to cultural genocide. Sweeping abuses were common and thousands died while attending residential schools. The last residential school didn’t close until 1996.  Casimir said the community wanted to confirm the burial spots “out of deepest respect and love for those lost children and their families, understanding that Tk’emlúps te Secwépemc is the final resting place.”  Going forward, the community plans to engage with a coroner, reach out to the home communities of the children who were found, safeguard the remains and their burial sites, and further investigate the deaths to see if documentation exists.  So far, more than 4,100 children who died while attending residential school have been identified as part of the Truth and Reconciliation Commission’s Missing Children Project, which documents the burial sites of children who died while at residential school."
13,nytimes.com,https://www.nytimes.com/2021/06/24/world/canada/indigenous-children-graves-saskatchewan-canada.html,Dan Bilefsky,Hundreds More Unmarked Graves Found at Former Residential School in Canada,0.020080209,0.35014763,0.6297721,,2021-06-24T07:00:00+00:00,"The discoveries have jolted a nation grappling with generations of widespread and systematic abuse of Indigenous people, many of whom are survivors of the boarding schools. The burial site also puts new pressure on the current government of Justin Trudeau, Canada’s prime minister, which even today relies on a set of laws that govern the lives of Indigenous people that date back to the 19th century.   Both schools were part of a system started in the 19th century that took Indigenous children from their families. In September 2017, Mr. Trudeau acknowledged the nation’s past “humiliation, neglect and abuse” of Indigenous people, and vowed in a speech at the United Nations General Assembly to improve their lives.  Since the Kamloops announcement, Chief Cameron said, he has been traveling around the province, where farming and mining are major industries, looking at former school sites. “You can see with your plain eye the indent of the ground where these bodies are to be found,” he said in an interview Wednesday night. “These children are sitting there, waiting to be found.”"
14,scmp.com,https://www.scmp.com/news/world/united-states-canada/article/3135281/remains-215-indigenous-children-found-former,N/A,Remains of 215 children found at former Canadian residential school site,0.021325372,0.9254327,0.05324198,,2021-05-29T07:00:00+00:00,"The former Kamloops Indian Residential School in Kamloops, British Columbia, Canada on Thursday. Photo: The Canadian Press via AP"
15,dailywire.com,https://www.dailywire.com/news/remains-of-hundreds-of-children-found-at-canadian-residential-school,Eric Quintanar,Remains Of Hundreds Of Children Found Buried At Canadian Residential School,0.012275731,0.09671871,0.8910056,,2021-05-29T07:00:00+00:00,"Remains from hundreds of children have been found at a long-since closed Canadian residential school, an indigenous group said Thursday. The school was one of many places where the Canadian government took indigenous children who had been removed from their families for forced assimilation.   Chief Rosanne Casimir of the Tk’emlups te Secwépemc First Nation responded in a statement Thursday, saying: “Given the size of the school, with up to 500 students registered and attending at any one time, we understand that this confirmed loss affects First Nations communities across British Columbia and beyond.”  The age of the children isn’t clear, but Casimir said some were as young as three, reports the Toronto Star.  Kamloops, which was operated by the Catholic Church and then by the state in its final years, was one of many residential schools the Canadian government forced indigenous children to attend, reports The Associated Press. The news that remains were found at the former Kamloops residential school breaks my heart – it is a painful reminder of that dark and shameful chapter of our country’s history,” said Prime Minister Justin Trudeau in a statement."
16,vice.com,https://www.vice.com/en/article/g5gdkq/more-churches-burned-in-canada-after-latest-grave-discovery-at-residential-school,Anya Zoledziowski,More Churches Burned in Canada After Latest Grave Discovery at Residential School,0.025645588,0.196506,0.7778484,,2021-06-28T07:00:00+00:00,"  Last month, Tk’emlúps te Secwépemc First Nation confirmed 215 unmarked graves at the former Kamloops Indian Residential School—painful news that resulted in more Indigenous communities searching former residential schools in their territories.   The news supports what Indigenous folks, residential school survivors, and their families have been saying about the residential school system for decades, and it seems a lot of non-Indigenous folks are starting to learn about Canada’s horrific history and ongoing colonialism—and the Catholic Church’s role in it. I can’t stand for that anymore.”  Residential schools were run by the Canadian government and churches to forcibly assimilate 150,000 First Nations, Inuit, and Métis children. According to Canada’s Truth and Reconciliation Commission, about 4,100 students were killed at residential schools, but that number is likely to climb."
17,vice.com,https://www.vice.com/en/article/akgjxz/182-unmarked-graves-confirmed-at-another-former-catholic-residential-school-in-canada,Anya Zoledziowski,182 Unmarked Graves Confirmed at Another Former Catholic Residential School in Canada,0.018936574,0.34632963,0.6347338,,2021-06-24T07:00:00+00:00,"A memorial at Toronto's Queens Park for the 215 Indigenous children found in unmarked graves at a residential school in British Columbia.   The search revealed 182 human remains in unmarked graves, with some of the remains buried in shallow graves only about three to four feet deep. The community didn’t start burying ancestors at the cemetery until the late 1800s.  “Graves were traditionally marked with wooden crosses and this practice continues to this day in many Indigenous communities across Canada,” according to the statement. “Wooden crosses can deteriorate over time due to erosion or fire which can result in an unmarked grave.”  “The issue of the remains of children victimized in residential schools and buried in unmarked graves is of great concern” ʔaq̓am said, adding that it urges surrounding Nations and the co-owners of the St. Eugene Resort to collaborate during the investigation. On Friday, Cowessess First Nation in Saskatchewan confirmed an estimated 751 unmarked graves at a former school, while last month Tk’emlúps te Secwépemc First Nation confirmed 215, which spearheaded a country-wide search for unmarked graves and lost loved ones."
18,nationalgeographic.com,https://www.nationalgeographic.com/history/article/residential-school-survivors-reflect-on-brutal-legacy-that-could-have-been-me,Brandi Morin,Residential school survivors reflect on a brutal legacy: ‘That could’ve been me.’,0.022104898,0.30461273,0.6732824,,2021-06-28T07:00:00+00:00,"  “The news that hundreds of unmarked graves have been found in Cowessess First Nation is absolutely tragic, but not surprising,” Perry Bellegarde, national chief of the Assembly of First Nations, wrote in a post on Twitter. More than 150,000 Indigenous children attended Canada’s residential schools, which were created in the 1880s to assimilate Indigenous children into the dominant culture.   Although the last federally run school closed in 1996, the painful legacy of the schools continues today, with generations of Canada’s First Nations still wrestling with their experiences and those of their elders. Several major cities have cancelled planned Canada Day celebrations on July 1 in solidarity with mourning Indigenous communities."
19,nationalgeographic.com,https://www.nationalgeographic.com/history/article/residential-school-survivors-reflect-on-brutal-legacy-that-could-have-been-me,Brandi Morin,Residential school survivors reflect on a brutal legacy: ‘That could’ve been me.’,0.022104898,0.30461273,0.6732824,,2021-06-28T07:00:00+00:00,"  “The news that hundreds of unmarked graves have been found in Cowessess First Nation is absolutely tragic, but not surprising,” Perry Bellegarde, national chief of the Assembly of First Nations, wrote in a post on Twitter. More than 150,000 Indigenous children attended Canada’s residential schools, which were created in the 1880s to assimilate Indigenous children into the dominant culture.   Although the last federally run school closed in 1996, the painful legacy of the schools continues today, with generations of Canada’s First Nations still wrestling with their experiences and those of their elders. Several major cities have cancelled planned Canada Day celebrations on July 1 in solidarity with mourning Indigenous communities."
20,mercurynews.com,https://www.mercurynews.com/2021/06/24/canadian-indigenous-group-finds-751-unmarked-graves-at-former-residential-school/,N/A,Canadian indigenous group finds 751 unmarked graves at former Catholic residential school,0.031782135,0.5523037,0.41591424,,2021-06-24T07:00:00+00:00,"  He told indigenous people that “the hurt and the trauma that you feel is Canada’s responsibility to bear.”  It is not clear how many of the remains detected belong to children   The residential school system, which operated between 1831 and 1996, removed about 150,000 indigenous children from their families and brought them to Christian residential schools run on behalf of the federal government.  “Canada will be known as a nation who tried to exterminate the First Nations. read more • Famed 1878 painting returns to SF and inspires new look at Native American art • “A place for the oddballs”: Tattoo community mourns victims of Colorado shootings • Welcome edible native berries to your garden The Kamloops discovery reopened old wounds in Canada about the lack of information and accountability around the residential school system, which forcibly separated indigenous children from their families and subjected them to malnutrition and physical and sexual abuse."
21,abcnews.go.com,https://abcnews.go.com/International/215-bodies-discovered-residential-school-indigenous-children-canada/story?id=77979045,Guy Daniels,215 bodies discovered at former residential school for Indigenous children in Canada,0.013131112,0.13793892,0.84892994,,2021-05-29T07:00:00+00:00,"Canadian Prime Minister Justin Trudeau described the recent discovery of more than 200 bodies in the grounds of what was the country's largest Indigenous residential school -- where Indigenous children were sent after being removed from their communities -- as a ""painful reminder of that dark and shameful chapter"" of the nation's history.   Residential schools were ""an integral part of a conscious policy of cultural genocide"" against the country's Indigenous population, according to a Truth and Reconciliation Commission of Canada report in 2015.   ""The mistreatment of Indigenous children is a tragic and shameful part of Canada's history,"" the lawmaker Carolyn Bennett, who serves as the minister of Crown-Indigenous relations, said in a statement. ""Residential schools were part of a colonial policy that removed Indigenous children from their communities. ..."
22,vice.com,https://www.vice.com/en/article/m7eb8n/catholic-church-calls-justin-trudeau-uninformed-amid-demands-it-release-residential-school-records,Anya Zoledziowski,Catholic Church Calls Justin Trudeau ‘Uninformed’ Amid Demands It Release Residential School Records,0.02037666,0.28805307,0.69157034,,2021-06-07T07:00:00+00:00,"Photos via getty  “As a Catholic, I am deeply disappointed by the decision that the Catholic Church has taken now and over the past many years,” Trudeau said Friday, before urging Canadians to apply pressure on their church leaders to release documents that could help identify undocumented children who died while forced to attend residential school.  Residential schools were used by the Canadian government to forcibly assimilate an estimated 150,000 First Nations, Inuit, and Métis children. Sweeping abuses were common and thousands died while attending residential schools. In 2017, Canada’s Supreme Court ruled that residential school records can be destroyed.   Local efforts to reject colonialism have also gathered steam, with civilians and authorities all over removing public statues and tributes honouring residential school architects."
23,vice.com,https://www.vice.com/en/article/n7bkz7/catholic-priest-accused-residential-school-survivors-of-lying-about-sex-abuse-for-compensation,Anya Zoledziowski,Catholic Priest Accused Residential School Survivors of Lying About Sex Abuse for Compensation,0.027196318,0.31310457,0.6596991,,2021-07-29T07:00:00+00:00,"Despite this, there is no record of a criminal investigation being carried out at the time.”  Residential schools survivors who suffered abuse were eligible for compensation in Canada as part of the Indian Residential Schools Settlement Agreement. More than 1,000 additional unmarked graves have been discovered at former residential schools across the country since, and thousands more are expected.   While the Anglican, United, and Presbyterian churches have apologized for their roles in residential schools, the Catholic Church has not.   Priests have spread falsehoods about residential schools or downplayed their impacts, while others have remained quiet on the matter."
24,cnn.com,https://www.cnn.com/2021/05/28/world/children-remains-discovered-canada-kamloops-school/index.html,Paula Newton,'Unthinkable' discovery in Canada as remains of 215 children found buried near residential school,0.029590862,0.6047626,0.36564657,,2021-06-01T07:00:00+00:00,"(CNN) The gruesome discovery took decades and for some survivors of the Kamloops Indian Residential School in Canada, the confirmation that children as young as 3 were buried on school grounds crystallizes the sorrow they have carried all their lives.   The Kamloops Indian Residential school was one of the largest in Canada and operated from the late 19th century to the late 1970s.   As was documented by the Truth and Reconciliation Commission, many of the children in residential schools did not receive adequate medical care with some dying prematurely of diseases like tuberculous.   The commission estimates that more than 4,000 children died while at residential schools over a period of several decades, but the final commission report acknowledges it was impossible to know the true number."
25,buzzfeednews.com,https://www.buzzfeednews.com/article/laurenstrapagiel/indigenous-residential-schools-canada-graves,Lauren Strapagiel,Canada Is Mourning 215 Indigenous Children After Their Remains Were Found At A Residential School,0.01969025,0.31918097,0.66112876,,2021-05-31T07:00:00+00:00,"On Monday, Perry Bellegarde, national chief of the Assembly of First Nations, said the find should be a ""catalyst"" for further work uncovering these graves at school sites throughout the country. For more than 100 years, thousands of Indigenous children were sent to residential schools across Canada, taken from their parents in an attempt to assimilate them.    The US government used similar boarding schools, forcing Native American children to live and learn away from their families, and systematically cutting them off from their communities and culture. The report also came up with 94 calls to action for reconciliation, including six in regard to the children who died in residential schools."
26,nydailynews.com,https://www.nydailynews.com/news/world/ny-cowesses-first-nation-saskatchewan-751-unmarked-graves-residential-school-20210624-ck3h24b6dfgdhl5u2tvx5fjory-story.html,Theresa Braine,Cowesses First Nation in Saskatchewan finds 751 unmarked graves near site of indigenous residential school,0.023475908,0.5116316,0.46489254,,2021-06-24T07:00:00+00:00,"  Cowesses First Nation made the discovery using ground-penetrating radar, Chief Cadmus Delorme said at a press conference Thursday.   “We cannot affirm that they are all children, but there are oral stories that there are adults in this gravesite as well because it was the Roman Catholic church that oversaw this gravesite,” Delorme said. Bobby Cameron, chief of the Federation of Sovereign Indigenous Nations, which represents 74 First Nations in Saskatchewan “The only crime we ever committed as children was being born indigenous.”  He said the search would continue, not just at residential school sites but also at hospitals and other institutions that indigenous children might have been brought to."
27,vice.com,https://www.vice.com/en/article/wx5xww/criminally-charge-canada-and-the-catholic-church-for-residential-schools-experts,Anya Zoledziowski,Criminally Charge Canada and the Catholic Church For Residential Schools: Experts,0.021450972,0.22756472,0.7509843,,2021-06-14T07:00:00+00:00,"A memorial at the former Kamloops Indian Residential School to honour the 215 children whose remains were discovered (Photo by COLE BURSTON/AFP via Getty Images) Starting in the 1800s, residential schools were funded by the Canadian government and operated by churches to forcibly assimilate an estimated 150,000 First Nations, Inuit, and Métis children.   Survivors expressed how they felt both criminal and civil justice systems historically favoured residential school leadership and staff. Neither institution has faced criminal charges, and both have failed to hand over many residential school records that would help communities find and identify lost family members, as well as the names of former residential school staff who may have committed abuses."
28,aljazeera.com,https://www.aljazeera.com/news/2021/5/30/canada-trudeau-orders-flags-lowered-for-indigenous-children,N/A,Canada’s Trudeau orders flags lowered for Indigenous children,0.017084887,0.1491685,0.8337467,,2021-05-30T07:00:00+00:00,"  Between the 1870s and 1990s, more than 150,000 Indigenous children were forced to attend the schools, which were run by churches and aimed to forcibly assimilate Indigenous children into white Canadian society. The discovery in Kamloops has raised longstanding questions about the ongoing legacy of colonialism in Canada – and the intergenerational trauma linked to residential schools that is still being felt in Indigenous communities across the country.   But while the schools may be closed, Indigenous children continue to be taken away from their families in disproportionate numbers across Canada.   According to census data, more than 52 percent of children in foster care in 2016 were Indigenous, while Indigenous children made up only 7.7 percent of the country’s total population."
29,aljazeera.com,https://www.aljazeera.com/news/2021/6/6/canada-time-for-the-catholic-church-to-take-responsibility,Jillian Kestler-D'Amours,‘Time for the Catholic Church to take responsibility’,0.021399168,0.24162254,0.7369783,,2021-06-06T07:00:00+00:00,"  Between the 1870s and 1990s, more than 150,000 First Nation, Metis and Inuit children were forcibly separated from their families and forced to attend residential schools, which aimed to assimilate them into Canadian society.   “The judiciary should conduct criminal investigations into all suspicious death and allegations of torture and sexual violence against children hosted in residential schools, and prosecute and sanction the perpetrators and concealers who may still be alive,” they also said.   “I experienced horrific abuse in the school for nine years: emotionally, mentally, physically and sexually,” said Shingoose, telling Al Jazeera that in addition to an apology from Pope Francis, she wants to see charges laid against abusers and for the Catholic Church to publicly release all its records about residential schools.   But Trudeau’s government also faces mounting calls to take real action to address the legacy of residential schools, including ongoing discrimination against Indigenous children across Canada – and implement the Calls to Action."
30,apnews.com,https://apnews.com/article/caribbean-canada-7430e40bc8808410db45d08feb8fbf71,N/A,More than 200 bodies found at Indigenous school in Canada,0.01671582,0.23237765,0.7509066,,2021-05-29T07:00:00+00:00,"The former Kamloops Indian Residential School is seen on Tk'emlups te Secwépemc First Nation in Kamloops, British Columbia, Canada on Thursday, May 27, 2021.   The former Kamloops Indian Residential School is seen on Tk'emlups te Secwépemc First Nation in Kamloops, British Columbia, Canada on Thursday, May 27, 2021.   “Given the size of the school, with up to 500 students registered and attending at any one time, we understand that this confirmed loss affects First Nations communities across British Columbia and beyond,” Casimir said in the initial release issued late Thursday.   Access to the latest technology allows for a true accounting of the missing children and will hopefully bring some peace and closure to those lives lost, she said in the release.  Casimir said band officials are informing community members and surrounding communities that had children who attended the school.  The First Nations Health Authority called the discovery of the remains “extremely painful” and said in a website posting that it “will have a significant impact on the Tk’emlúps community and in the communities served by this residential school.”  The authority’s CEO, Richard Jock, said the discovery “illustrates the damaging and lasting impacts that the residential school system continues to have on First Nations people, their families and communities,.”  Nicole Schabus, a law professor at Thompson Rivers University,"
31,vice.com,https://www.vice.com/en/article/pkbk3b/non-indigenous-people-have-to-be-good-allies-215-residential-schools-heres-how-to-start,Lysandra Nothing,Non-Indigenous People Have to Be Good Allies. Here’s How to Start,0.036964774,0.52803683,0.43499836,,2021-06-09T07:00:00+00:00,"“That’s another great thing for people to be doing because then, as Indigenous people we don't have to relive our pain by educating non-Indigenous people,” said Michael Redhead Champagne, a member of Shamattawa First Nation and the co-founder of Fearless R2W, a volunteer-run outreach group in Winnipeg that supports families navigating the system.   Check in with your Indigenous friends and colleagues  Five of the TRC’s calls urge the government to help communities investigate and document children who died or went missing while attending residential school, but only one has been put into effect: federal support for a national registry of children who died in residential schools. Orange shirts became a symbol for the many losses residential school students experienced after one survivor, Phyllis Webstad, shared how her orange shirt—decorated with eyelets and lace and given to her by her grandmother—was taken from her on her first day at residential school when she was 6 years old. Officially, September 30—the time of year when Indigenous children were forced to leave their homes and start school—is orange shirt day, but wearing one year-round, especially now, can raise awareness."
32,cbsnews.com,https://www.cbsnews.com/news/canada-indigenous-children-school-bodies-751-unmarked-graves/,Joe Zee,Hundreds of unmarked graves discovered at former children's school in Canada,0.02982899,0.30968276,0.6604883,,2021-06-24T07:00:00+00:00,"At least 600 unmarked graves were discovered at a former residential school for Indigenous children in Canada, Indigenous leaders said Thursday.   The hundreds of unmarked graves were discovered at the former Marieval Residential School in Saskatchewan, Cowessess First Nation Chief Cadmus Delorme said in a news conference Thursday. The news comes less than a month after the discovery of 215 bodies of children at the Kamloops Indian Residential School in British Columbia.   Chief Bobby Cameron, of the Federation of Sovereign Indigenous Nations, said the Cowessess people will not stop until all of the bodies of Indigenous children buried on residential school grounds have been found."
33,abcnews.go.com,https://abcnews.go.com/International/wireStory/unmarked-graves-found-indigenous-school-canada-78454281,N/A,Unmarked graves found at another Indigenous school in Canada,0.016166251,0.18271753,0.8011162,,2021-06-23T07:00:00+00:00,"A First Nation in Canada says it has discovered hundreds of unmarked graves at the site of another former residential school for Indigenous children   A First Nation in southern Saskatchewan said Wednesday that it has discovered hundreds of unmarked graves at the site of another former residential school for Indigenous children.   A statement from the Cowessess First Nation and the Federation of Sovereign Indigenous First Nations, which represents Saskatchewan’s First Nations, said that “the number of unmarked graves will be the most significantly substantial to date in Canada.”  Last month the remains of 215 children, some as young as 3 years old, were found buried on the site of what was once Canada’s largest Indigenous residential school near Kamloops, British Columbia.  Cowessess Chief Cadmus Delorme and Chief Bobby Cameron of the federation planned to hold a news conference Thursday to provide more details about the new find at the Marieval Indian Residential School, which operated from 1899 to 1997 where Cowessess is now located, about 87 miles east of Regina, the capital of Saskatchewan.  From the 19th century until the 1970s, more than 150,000 First Nations children were required to attend state-funded Christian schools as part of a program to assimilate them into Canadian society.   Indigenous leaders have cited that legacy of abuse and isolation as the root cause of epidemic rates of alcoholism and drug addiction on reservations."
